name,administrative_unit,last_update,county,status_notes,location,date_started
Big Meadow FireåÊ,Yosemite National ParkåÊ,"September 7, 2009 7:00 amåÊ",Mariposa CountyåÊ,"7,425 acres - 100% containedåÊ",Foresta CommunityåÊ,"August 26, 2009 12:08 pmåÊ"
Camp Pendleton FireåÊ,Marines at Camp PendletonåÊ,"August 30, 2009 6:00 pmåÊ",San Diego CountyåÊ,"Ridge FireThree fires burning within the base perimeter:: 560 acres, Case Fire: 670 acres, 219 Fire: 142 acresAll fires burning as part of the Ridge Complex are contained.åÊ",Camp PendletonåÊ,"August 26, 2009 12:00 pmåÊ"
Morris FireåÊ,US Forest Service - Angeles National ForeståÊ,"September 3, 2009 7:00 amåÊ",Los Angeles CountyåÊ,"2,168 acres - 100% containedåÊ",San Gabriel Canyon near Morris DamåÊ,"August 25, 2009 4:27 pmåÊ"
Red Rock FireåÊ,Klamath National ForeståÊ,"September 4, 2009 6:15 pmåÊ",Siskiyou CountyåÊ,"1,364 acres - 100% containedåÊ","15 miles west of Fort Jones, CAåÊ","August 21, 2009 6:40 pmåÊ"
Elephant FireåÊ,Plumas National ForeståÊ,"August 24, 2009 7:00 amåÊ",Plumas CountyåÊ,445 acres - 100% ContainedåÊ,"Feather River Canyon, near the Elephant Butte Tunnel åÊ","August 16, 2009 2:37 pmåÊ"
Yuba Fire ,CAL FIRE Nevada-Yuba-Placer UnitåÊ,"August 23, 2009 7:00 pmåÊ",Yuba CountyåÊ,"3,891 acres - 100% containedåÊ",Dobbins/Oregon House areaåÊ,"August 14, 2009 12:28 pmåÊ"
Corral Fire ,CAL FIRE Santa Clara UnitåÊ,"August 18, 2009 7:00 amåÊ",Alameda CountyåÊ,"12,500 acres - 100% containmentåÊ","West of Hwy 205 & South of Hwy 580, Altamont Pass åÊ","August 13, 2009 3:00 pmåÊ"
Summit FireåÊ,Mendocino National ForeståÊ,"August 14, 2009 6:00 pmåÊ",ColusaåÊ,350 acres - 100% containedåÊ,25 miles west of Stonyford åÊ,"August 13, 2009 12:42 pmåÊ"
Lockheed Fire ,CAL FIRE San Mateo - Santa Cruz UnitåÊ,"August 23, 2009 6:30 pmåÊ",Santa Cruz CountyåÊ,"7,817 acres - 100% containedåÊ",Bonny Doon area - Smith DrainageåÊ,"August 12, 2009 7:16 pmåÊ"
Coffin Fire ,CAL FIRE Shasta-Trinity UnitåÊ,"August 17, 2009 7:00 pmåÊ",Trinity CountyåÊ,"1,200 acres - 100% containmentåÊ",Southwest of LewistonBurning toward Hwy 299 W and Trinity Dam Blvd.åÊ,"August 12, 2009 2:00 pmåÊ"
La Brea FireåÊ,Los Padres National ForeståÊ,"August 22, 2009 6:15 amåÊ",Santa Barbara CountyåÊ,"89,489 acres - 100% containedåÊ",21 miles east of Santa MariaåÊ,"August 8, 2009 2:50 pmåÊ"
Sam Jones FireåÊ,Army at Fort Hunter LiggettåÊ,"August 4, 2009 6:25 pmåÊ",Monterey CountyåÊ,"3,468 acres - 100% containmentåÊ",Fort Hunter Liggett Training Area 27åÊ,"August 2, 2009 4:30 pmåÊ"
SHU Lightning ,CAL FIRE Shasta-Trinity UnitåÊ,"August 18, 2009 7:00 amåÊ",ShastaåÊ,"17,623 acres - 100% containedåÊ",Burney AreaåÊ,"August 1, 2009 9:00 pmåÊ"
Ponderosa FireåÊ,Los Padres National ForeståÊ,"August 7, 2009 7:00 amåÊ",MontereyåÊ,458 acres - 100% containment åÊ,20 miles southwest of King CityåÊ,"August 1, 2009 7:45 pmåÊ"
Dodge ComplexåÊ,NorCal Bureau of Land ManagementåÊ,"August 5, 2009 7:00 amåÊ",Lassen CountyåÊ,"1,600 acres - 100% containedA total of 6 lightning caused fires.åÊ",10 miles southeast of MadelineåÊ,"August 1, 2009 10:18 amåÊ"
Hat Creek Complex åÊ,Lassen National ForeståÊ,"August 26, 2009 3:00 pmåÊ",Lassen and Shasta CountiesåÊ,"11,269 acres - 100% containmentåÊ",Multiple lightning caused fires in the foreståÊ,"August 1, 2009 8:00 amåÊ"
Wildcat FireåÊ,Yosemite National ParkåÊ,"August 22, 2009 6:00 pmåÊ",Tuolumne CountyåÊ,"1,255 acres - 100% containedåÊ",Northwest of Tuolumne MeadowsåÊ,"July 29, 2009 6:03 pmåÊ"
Springs FireåÊ,CAL FIRE/ Riverside County FireåÊ,"July 29, 2009 7:00 amåÊ",Riverside CountyåÊ,42 acres - 100% containedåÊ,4 miles east of Like Grass LakeåÊ,"July 28, 2009 7:23 pmåÊ"
Ash Fire ,CAL FIRE Madera-Mariposa-Merced UnitåÊ,"July 29, 2009 8:00 amåÊ",Madera CountyåÊ,393 acres - 100% containedåÊ,"Ash Spring Road and High Water Road, between Oneals & Millerton Lake Recreational AreaåÊ","July 27, 2009 4:45 pmåÊ"
Knight FireåÊ,Stanislaus National ForeståÊ,"August 11, 2009 6:00 pmåÊ",Tuolumne CountyåÊ,"6,130 acres - 100% contained åÊ","10 miles north of Twain Harte, near Mount Knight on the Middle Fork of the Stanislaus River. åÊ","July 26, 2009 3:35 pmåÊ"
Sheppard FireåÊ,CAL FIRE  Mendocino UnitåÊ,"July 21, 2009 6:00 pmåÊ",Mendocino CountyåÊ,105 acres - 100% containedåÊ,Spanish Canyon and the Oak Knoll area outside of UkiahåÊ,"July 20, 2009 3:24 pmåÊ"
Tennant FireåÊ,Klamath National ForeståÊ,"July 24, 2009 5:30 pmåÊ",Siskiyou CountyåÊ,"3,225 acres - 100% containedåÊ","Hwy 97 10 miles south of Macdoel, CA åÊ","July 19, 2009 3:02 pmåÊ"
Lake FireåÊ,CAL FIRE San Luis Obispo UnitåÊ,"July 21, 2009 6:00 pmåÊ",San Luis Obispo CountyåÊ,123 acres - 100% containedLake Fire Final Fact SheetåÊ,Nacimiento Lake AreaåÊ,"July 19, 2009 1:35 pmåÊ"
Forks FireåÊ,Inyo National ForeståÊ,"July 23, 2009 6:00 pmåÊ",Inyo and Mono CountyåÊ,"3,268 acres - 100% containedåÊ",Highway 168 and Lake Sabrina area in the Bishop Creek CanyonåÊ,"July 18, 2009 2:54 pmåÊ"
Panther FireåÊ,CAL FIRE Humboldt-Del Norte UnitåÊ,"July 18, 2009 7:20 pmåÊ",Humboldt CountyåÊ,12 Acres - 100% containedåÊ,Humboldt Redwoods State ParkåÊ,"July 17, 2009 11:40 amåÊ"
Mammoth Fire ,CAL FIRE / Neveada-Yuba-Placer UnitåÊ,"July 18, 2009 7:30 pmåÊ",Placer CountyåÊ,643 acres - 100% containedåÊ,American River Canyon - Mammoth Bar Recreation Area east of AuburnåÊ,"July 16, 2009 2:33 pmåÊ"
Howland FireåÊ,Plumas National ForeståÊ,"July 17, 2009 7:30 amåÊ",Plumas CountyåÊ,144 acres - 100% containedåÊ,4 miles east of Like Grass LakeåÊ,"July 15, 2009 12:00 amåÊ"
Jordan Fire ,CAL FIRE/Butte County FireåÊ,"July 15, 2009 8:00 amåÊ",Butte CountyåÊ,5 fires totaling 35 acres - 100% containedåÊ,Jordan Hill Road / 170 V LineåÊ,"July 13, 2009 11:30 pmåÊ"
Osito FireåÊ,Angeles National ForeståÊ,"July 15, 2009 8:00 amåÊ",Los Angeles CountyåÊ,304 acres - 100% containedåÊ,North of CastaicåÊ,"July 13, 2009 12:18 pmåÊ"
Elm FireåÊ,CAL FIRE / Riverside County FireåÊ,"July 8, 2009 8:00 amåÊ",Riverside CountyåÊ,270 acres - 100% containedåÊ,"Ida Ave & Elm St, CabazonåÊ","July 7, 2009 3:19 pmåÊ"
Backbone FireåÊ,Six Rivers National ForeståÊ,"August 8, 2009 7:00 amåÊ",Trinity CountyåÊ,"6,324 acres - 100% containedContinued monitoring of the fire area will continue within the interior, while completing suppression repair activites, mop up and rehab measures.åÊ",Trinity Alps WildernessåÊ,"July 7, 2009 11:13 amåÊ"
De Luz FireåÊ,CAL FIRE / Riverside County FireåÊ,"July 3, 2009 8:00 amåÊ",Riverside CountyåÊ,100 acres - 100% containedåÊ,West of TemeculaåÊ,"July 2, 2009 2:34 pmåÊ"
Rumsey FireåÊ,CAL FIRE Sonoma-Lake-Napa UnitåÊ,"July 1, 2009 6:00 pmåÊ",Yolo CountyåÊ,716 acres - 100% containedåÊ,Hwy 16 north of GuindaåÊ,"June 29, 2009 2:45 amåÊ"
Haybarn FireåÊ,Camp Pendleton Marine BaseåÊ,"June 17, 2009 7:30 amåÊ",San Diego CountyåÊ,102 acres - 100% containmentAll evacuations have been lifted.åÊ,On the hillside across from the Ranch House on Vandegrift Boulevard.åÊ,"June 16, 2009 1:20 pmåÊ"
Tulare Unit Lightning ComplexåÊ,CAL FIRE Tulare UnitåÊ,"June 1, 2009 7:00 amåÊ",Tulare CountyåÊ,459 acres - 100% contained.This complex was comprised of 20 different fires.åÊ,On the west slope of Sierras (foothill areas) throughout Tulare County from the Kern County Line to Fresno CountyåÊ,"May 28, 2009 7:30 pmåÊ"
Oliver FireåÊ,CAL FIRE/ Riverside County FireåÊ,"May 28, 2009 8:00 amåÊ",Riverside CountyåÊ,503 acres - 100% containedåÊ,"Moreno Valley, Lake Perris State ParkåÊ","May 27, 2009 3:43 pmåÊ"
Pala FireåÊ,CAL FIRE San Diego UnitåÊ,"May 25, 2009 11:00 amåÊ",San Diego CountyåÊ,122 acres - 100% contained.Google MapåÊ,"Hwy 76 and Pala Temecula, northwest of PalaåÊ","May 24, 2009 2:56 pmåÊ"
Willow FireåÊ,CAL FIRE San Diego UnitåÊ,"May 23, 2009 8:00 amåÊ",San Diego CountyåÊ,65 acres - 100% containmentGoogle MapåÊ,Willow Glen Drive and Singing Canyon Road åÊ,"May 22, 2009 12:58 pmåÊ"
Jesusita Fire ,Los Padres National Forest / Santa Barbara County Fire åÊ,"May 18, 2009 5:00 pmåÊ",Santa Barbara CountyåÊ,"8,733 acres - 100% containedåÊ",Northwest of Mission Canyon and Santa Barbara City åÊ,"May 5, 2009 1:45 pmåÊ"
Fort FireåÊ,CAL FIRE San Bernardino UnitåÊ,"February 5, 2009 11:41 amåÊ",San Bernardino CountyåÊ,"1,500 acres - 100% containedåÊ",6 miles east of Independence in the Owens ValleyåÊ,"February 5, 2009 11:41 amåÊ"
Southern California Flooding ,åÊ,"December 25, 2010 10:00 amåÊ",Southern CaliforniaåÊ,A series of significant winter storms in Southern California. åÊ,Throughout Southern CaliforniaåÊ,"December 18, 2010 8:00 amåÊ"
Scott Fire ,Colton Fire Department / CAL FIRE San Bernardino UnitåÊ,"November 6, 2010 10:15 pmåÊ",San Bernardino CountyåÊ,125 acres - 100% contained.åÊ,Reche Canyon Road and Scotch Lane in Colton åÊ,"November 6, 2010 1:35 pmåÊ"
Wetsel FireåÊ,CAL FIRE Amador-El Dorado UnitåÊ,"November 3, 2010 4:00 pmåÊ",Sacramento CountyåÊ,155 acres - 100% containedåÊ,White Rock Rd and Payen Rd.åÊ,"November 3, 2010 1:56 pmåÊ"
Rocky FireåÊ,CAL FIRE San Luis ObispoåÊ,"October 29, 2010 4:00 pmåÊ",San Luis Obispo CountyåÊ,25 acres - 100% containedRocky Fire News ReleaseåÊ,Rocky Canyon Truck Trail east of AtascaderoåÊ,"October 29, 2010 12:33 pmåÊ"
Antelope Fire ,CAL FIRE San Luis Obispo UnitåÊ,"October 27, 2010 8:00 amåÊ",San Luis Obispo CountyåÊ,185 acres - 100% containedåÊ,"North side of Hwy 46, 2 miles west of the Kern County Line near Antelope Grade. åÊ","October 26, 2010 3:04 pmåÊ"
Bridge FireåÊ,CAL FIRE Nevada Yuba Placer Unit/Placer County FireåÊ,"October 12, 2010 8:30 amåÊ",Placer CountyåÊ,56 acres - 100% contained. åÊ,"Baseline and Walerga Road, west of Roseville.åÊ","October 11, 2010 3:50 pmåÊ"
Border Fire 12åÊ,CAL FIRE San Diego UnitåÊ,"October 11, 2010 8:30 amåÊ",San Diego CountyåÊ,50 acres (43 acres in the US). 100% contained åÊ,"South of Hwy 94 near Bell Valley, along the Mexican BorderåÊ","October 10, 2010 1:10 pmåÊ"
Lake FireåÊ,CAL FIRE San Luis Obispo UnitåÊ,"October 11, 2010 9:00 amåÊ",San Luis Obispo CountyåÊ,112 acres - 100% containedåÊ,"Off Nacimento Lake Dr and Dragonbreath Place, 1 miles east of Lake Nacimiento and northwest of Paso RoblesåÊ","October 9, 2010 6:36 pmåÊ"
Bodega FireåÊ,CAL FIRE Sonoma-Lake-Napa UnitåÊ,"September 26, 2010 11:50 amåÊ",Sonoma CountyåÊ,98 acres - 100% containedåÊ,"Bodega Bay, Highway 1 Just north of Bodega HighwayåÊ","September 25, 2010 12:30 pmåÊ"
Rainbow FireåÊ,CAL FIRE/ Riverside County FireåÊ,"September 24, 2010 8:35 pmåÊ",Riverside CountyåÊ,3 - 5 acres - 100% containedåÊ,Hwy I-15 and Rainbow Valley Blvd.åÊ,"September 24, 2010 3:52 pmåÊ"
Oregon FireåÊ,CAL FIRE Butte UnitåÊ,"September 20, 2010 7:30 amåÊ",Butte CountyåÊ,40 acres - 100% containedåÊ,Oregon Gulch Rd near OrovilleåÊ,"September 18, 2010 8:34 pmåÊ"
Whitlock FireåÊ,CAL FIRE Madera-Mariposa-Merced UnitåÊ,"September 19, 2010 6:30 pmåÊ",Mariposa CountyåÊ,69 acres - 100% containedåÊ,"Sherlock Road and Whitlock Road near the community of Midpines, 7 miles north of MariposaåÊ","September 18, 2010 4:43 pmåÊ"
Canyon FireåÊ,Sequoia National Forest / Kern County Fire DepartmentåÊ,"September 20, 2010 7:30 amåÊ",Kern CountyåÊ,"9,820 acre - 100% containedThis was not a CAL FIRE incident. Click the link above for more information.åÊ",Hwy 178 southwest of Lake IsabellaåÊ,"September 12, 2010 1:54 pmåÊ"
Highway 71 FireåÊ,CAL FIRE San Bernardino Unit / Chino Valley FireåÊ,"September 12, 2010 8:00 pmåÊ",San Bernardino CountyåÊ,2 fires at 65 acres - 100% contained.åÊ,"Hwy 71 and Pine Ave, south of ChinoåÊ","September 11, 2010 4:43 pmåÊ"
Windy Fire ,CAL FIRE Butte UnitåÊ,"September 14, 2010 6:00 pmåÊ",Tehama CountyåÊ,125 acres - 100% containedåÊ,"North of Hwy 32 at Windy Point, northwest of Windy Cut Lookout in the Deer Creek drainageåÊ","September 6, 2010 12:00 pmåÊ"
Buckeye Fire ,CAL FIRE Humboldt-Del Norte UnitåÊ,"September 10, 2010 6:00 pmåÊ",Humboldt CountyåÊ,205 acres - 100% containedåÊ,"on Buckeye Mountain, east of PetroliaåÊ","September 6, 2010 9:36 amåÊ"
Gilman FireåÊ,CAL FIRE Riverside Unit / Riverside County FireåÊ,"September 6, 2010 8:00 amåÊ",Riverside CountyåÊ,75 acres - 100% containedåÊ,"Gilman Springs and Jack Rabbit Trail, BeaumontåÊ","September 5, 2010 3:55 pmåÊ"
Palmer FireåÊ,CAL FIRE Riverside Unit/Riverside County FireåÊ,"September 3, 2010 4:30 pmåÊ",Riverside CountyåÊ,"3 fires at 120 acres - 100% contained1st Fire - 93 acres, 2nd Fire - 25 acres, 3rd Fire - 2 acres.åÊ","West Oak Valley Parkway and Palmer Ave, BeaumontåÊ","September 3, 2010 12:09 pmåÊ"
Cowboy Fire ,CAL FIRE San Diego UnitåÊ,"September 6, 2010 6:00 pmåÊ",San Diego CountyåÊ,827  acres - 100% containedåÊ,"Near the Pacific Crest Trail, between Campo and Potrero and Southwest ofÌâåÊLake Morena åÊ","September 2, 2010 1:11 pmåÊ"
Clinton FireåÊ,CAL FIRE/Riverside County FireåÊ,"September 2, 2010 12:00 pmåÊ",Riverside CountyåÊ,65 acres - 100% containedåÊ,Clinton Keith Rd and Avenida La Cresta in the La Cresta areaåÊ,"September 1, 2010 1:14 pmåÊ"
Minto FireåÊ,CAL FIRE / Riverside County FireåÊ,"August 31, 2010 9:00 amåÊ",Riverside CountyåÊ,81 acres - 100% containedåÊ,Minto Way and Sage Rd. in HemetåÊ,"August 30, 2010 3:22 pmåÊ"
Bullard Fire ,CAL FIRE Nevada-Yuba-Placer Unit / Tahoe National ForeståÊ,"August 31, 2010 5:30 pmåÊ",Yuba CountyåÊ,"1,307 acres - 100% containedåÊ","Bullards Bar Dam and Marysville Rd, 3 miles east of DobbinsåÊ","August 27, 2010 4:05 pmåÊ"
Hawk ComplexåÊ,CAL FIRE / Riverside County FireåÊ,"August 26, 2010 8:00 amåÊ",Riverside CountyåÊ,62 acres - 100% containment.This was made up of 4 fires.Vail Fire - 25  acresSkinner Fire - 35  acres Kenyon Fire - 1  acreWaldo Fire - 1  acreåÊ,Southwest portion of Riverside CountyåÊ,"August 25, 2010 1:18 pmåÊ"
Curry FireåÊ,CAL FIRE Santa Clara Unit åÊ,"August 26, 2010 5:45 pmåÊ",Contra Costa CountyåÊ,375 acres - 100% contained åÊ,"Curry Canyon Road and Morgan Territory Road, East of ClaytonåÊ","August 24, 2010 4:00 pmåÊ"
Indian FireåÊ,CAL FIRE Sonoma-Lake-Napa UnitåÊ,"August 26, 2010 5:45 pmåÊ",Lake CountyåÊ,363 acres - 100% contained åÊ,North end of Indian Valley ReservoiråÊ,"August 24, 2010 3:22 pmåÊ"
Post FireåÊ,Kern County FireåÊ,"August 24, 2010 4:20 pmåÊ",Kern CountyåÊ,"1,312 acres - 100% contained. This was a Kern County Fire & USFS Incident.åÊ",North of Frazier ParkåÊ,"August 24, 2010 12:15 pmåÊ"
Santa FireåÊ,CAL FIRE San Diego UnitåÊ,"August 22, 2010 9:00 pmåÊ",San Diego CountyåÊ,30 acres - 100% containedåÊ,"Hwy 79 near the Santa Ysabel Casino, north of Santa YsabelåÊ","August 22, 2010 4:00 pmåÊ"
Pozo FireåÊ,Los Padres National ForeståÊ,"August 22, 2010 7:00 amåÊ",San Luis Obispo CountyåÊ,"1,263 acres - 100% contained. This was a US Forest Service incident,åÊ",Pozo Rd southeast of Santa MargaritaåÊ,"August 21, 2010 12:31 pmåÊ"
Monte FireåÊ,Cleveland National Forest åÊ,"August 22, 2010 7:00 amåÊ",San Diego CountyåÊ,929 acres - 100% containedThis was a US Forest Service incident.åÊ,"North side of El Monte Road, east of the community of Lakeside åÊ","August 21, 2010 1:02 amåÊ"
Dobbins FireåÊ,CAL FIRE Nevada-Yuba-Placer UnitåÊ,"August 21, 2010 7:30 pmåÊ",Yuba CountyåÊ,25 acres - 100% containedåÊ,Dobbins area west of Lake FrancisåÊ,"August 20, 2010 3:55 pmåÊ"
Baseline FireåÊ,CAL FIRE Nevada-Yuba-Placer Unit / Placer County FireåÊ,"August 20, 2010 6:00 pmåÊ",Placer CountyåÊ,434 acres - 100% containedåÊ,"Baseline Rd & Watt Ave, west of RosevilleåÊ","August 20, 2010 3:45 pmåÊ"
Rock FireåÊ,CAL FIRE / Riverside County FireåÊ,"August 20, 2010 12:00 pmåÊ",Riverside CountyåÊ,25 acres - 100% containedåÊ,Coral Rock Ln & Gruwell St in WildomaråÊ,"August 19, 2010 7:48 pmåÊ"
Converse FireåÊ,CAL FIRE Madera-Mariposa-Merced UnitåÊ,"August 18, 2010 9:30 pmåÊ",Mariposa CountyåÊ,38 acres - 100% containedåÊ,"Converse Rd. and Old Converse Rd., Greeley Hill, CoultervilleåÊ","August 18, 2010 9:39 amåÊ"
Stokes FireåÊ,CAL FIRE Tulare UnitåÊ,"August 18, 2010 8:00 pmåÊ",Tulare CountyåÊ,879 acres - 100% containedåÊ,"On Stokes Mountain near Road 176 between Ave 384 and Ave 416, 4 miles east of Cutler-OrosiåÊ","August 17, 2010 8:05 pmåÊ"
Miller FireåÊ,CAL FIRE San Bernardino Unit / San Bernardino National Forest åÊ,"August 19, 2010 8:00 pmåÊ",San Bernardino CountyåÊ,66 acres - 100% containedåÊ,"Silverwood Lake State Recreation Area, south of Hesperia åÊ","August 17, 2010 4:58 pmåÊ"
Potrero FireåÊ,CAL FIRE / Riverside County FireåÊ,"August 11, 2010 8:00 amåÊ",Riverside CountyåÊ,256 acres - 100% containedåÊ,"Potrero Rd and Foothill Rd, north of BanningåÊ","August 10, 2010 4:44 pmåÊ"
Sunnyside FireåÊ,CAL FIRE Lassen Modoc UnitåÊ,"August 9, 2010 5:30 pmåÊ",Lassen CountyåÊ,285 acres - 100% containedåÊ,"Sunnyside Rd and Hwy 395, 10 miles southeast of Susanville and north of JanesvilleåÊ","August 8, 2010 4:26 pmåÊ"
Green FireåÊ,CAL FIRE San Benito-Monterey UnitåÊ,"August 4, 2010 7:30 amåÊ",Monterey CountyåÊ,35 acres - 100% containedåÊ,Near the Little Sur River and Old Coast Rd near the El Sur RanchåÊ,"August 3, 2010 4:00 pmåÊ"
Buzzard FireåÊ,CAL FIRE Shasta Trinity UnitåÊ,"August 3, 2010 6:00 pmåÊ",Shasta CountyåÊ,20 acres - 100% containedåÊ,East of Montgomery Creek in Round MountainåÊ,"August 3, 2010 1:28 pmåÊ"
Cow FireåÊ,CAL FIRE Mendocino  UnitåÊ,"August 4, 2010 7:00 pmåÊ",Mendocino CountyåÊ,293 acres - 100% containedåÊ,"On Cow Mountain, 8 Miles East of UkiahåÊ","August 1, 2010 3:55 pmåÊ"
Dutch FireåÊ,Klamath National ForeståÊ,"August 4, 2010 6:00 pmåÊ",Siskiyou CountyåÊ,371 acres - 100% containedåÊ,"9 miles SW of Hornbrook, Dutch Creek along Hwy 96åÊ","July 31, 2010 4:20 pmåÊ"
Scissors FireåÊ,CAL FIRE San Diego UnitåÊ,"August 1, 2010 7:00 pmåÊ",San Diego CountyåÊ,110 acres - 100% containedåÊ,"County Road S-2, 3 miles north of  Hwy 78, along south boundary of Anza Borrego State ParkåÊ","July 31, 2010 9:10 amåÊ"
Crown FireåÊ,Los Angeles County FireåÊ,"August 3, 2010 7:00 amåÊ",Los Angeles CountyåÊ,"13,918 acres - 100% containedåÊ","North of Sierra Highway at Anthony Road, southwest of PalmdaleåÊ","July 29, 2010 2:22 pmåÊ"
West FireåÊ,Kern County Fire DepartmentåÊ,"August 3, 2010 6:00 pmåÊ",Kern CountyåÊ,"1,658 acres - 100% containedåÊ","ear the Old West Ranch community, southeast of Tehachapi. åÊ","July 27, 2010 3:48 pmåÊ"
Russel Complex ,CAL FIRE Lassen-Modoc UnitåÊ,"July 28, 2010 7:00 pmåÊ",Lassen CountyåÊ,250 acres - 100% containedåÊ,East of Straylor Lake åÊ,"July 25, 2010 1:25 pmåÊ"
Late July Lightning Fires  ,Multiple CAL FIRE Administrative UnitsåÊ,"July 29, 2010 12:00 pmåÊ",Multiple CountiesåÊ,194 confirmed fires (43 were in CAL FIRE jurisdiction burning 434 acres)åÊ,Across northeast California  åÊ,"July 24, 2010 7:00 pmåÊ"
Bodfish FireåÊ,Kern County FireåÊ,"July 20, 2010 5:00 pmåÊ",Kern CountyåÊ,552 acres - 100% containedåÊ,Caliente Bodfish Rd between Bodfish and Havilah in the area of Hooper Hill. åÊ,"July 15, 2010 8:30 pmåÊ"
Saddle FireåÊ,CAL FIRE/ Riverside County FireåÊ,"July 16, 2010 3:50 pmåÊ",Riverside CountyåÊ,70 acres - 100% containedåÊ,Oak Glen Rd and Red Mountain Rd åÊ,"July 15, 2010 3:47 pmåÊ"
Skinner FireåÊ,CAL FIRE/Riverside County FireåÊ,"July 17, 2010 7:55 amåÊ",Riverside CountyåÊ,503 acres - 100% containedåÊ,Crown Valley Rd and De Portola Rd åÊ,"July 15, 2010 3:42 pmåÊ"
Cactus FireåÊ,CAL FIRE/Riverside County FireåÊ,"July 18, 2010 8:15 amåÊ",Riverside CountyåÊ,706 acres - 100% containedåÊ,Red Mountain Rd and Owl CreekåÊ,"July 15, 2010 2:59 pmåÊ"
Pala FireåÊ,CAL FIRE San Diego UnitåÊ,"June 24, 2010 9:00 amåÊ",San Diego CountyåÊ,106 acres - 100% contained.åÊ,"NorthÌâåÊsideÌâåÊofÌâåÊHwyÌâåÊ76,ÌâåÊatÌâåÊtheÌâåÊbaseÌâåÊofÌâåÊPalomarÌâåÊMtn.,ÌâåÊeast of Interstate 15åÊ","June 23, 2010 3:37 pmåÊ"
Millerton (Fine) Fire åÊ,CAL FIRE Fresno-Kings UnitåÊ,"June 23, 2010 10:00 pmåÊ",Fresno CountyåÊ,275 acres - 100% containedåÊ,Sky Harbor Rd near Fine Gold Recreation Area at Millerton Lake åÊ,"June 22, 2010 4:00 pmåÊ"
Ranch FireåÊ,CAL FIRE / Riverside County FireåÊ,"June 23, 2010 6:40 amåÊ",Riverside CountyåÊ,127 acres - 100% containedåÊ,Old Ranch Rd and Cactus Valley Rd in the Sage areaåÊ,"June 22, 2010 2:33 pmåÊ"
Diablo FireåÊ,CAL FIRE Santa Clara UnitåÊ,"June 18, 2010 10:00 pmåÊ",Alameda CountyåÊ,475 acres - 100% containedåÊ,Hwy 580 and Grant Line Rd in the Altamont Pass areaåÊ,"June 18, 2010 4:35 pmåÊ"
Narrows FireåÊ,CAL FIRE San Diego UnitåÊ,"June 17, 2010 2:00 pmåÊ",San Diego CountyåÊ,100 acres - 100% containedåÊ,"Hwy 78 east of S2, East of JulianåÊ","June 16, 2010 5:00 pmåÊ"
River FireåÊ,CAL FIRE / Riverside County FireåÊ,"June 17, 2010 7:00 amåÊ",Riverside CountyåÊ,46 acres -  100% containedåÊ,"South of Hwy. 91 and West of Green River Rd., west of CoronaåÊ","June 16, 2010 1:52 pmåÊ"
Robinson FireåÊ,CAL FIRE Madera-Mariposa-Merced UnitåÊ,"June 12, 2010 8:30 amåÊ",Merced CountyåÊ,"2,000 acres - 100% containedåÊ",3 miles southeast of Snelling at Robinson Rd and Allen Rd åÊ,"June 11, 2010 9:15 pmåÊ"
Vista FireåÊ,CAL FIRE Santa Clara Unit / Contra Costa County FireåÊ,"June 11, 2010 9:00 pmåÊ",Contra Costa CountyåÊ,186 acres - 100% containedåÊ,East of Walnut Creek (Shell Ridge Recreation Area off Marshall Dr)åÊ,"June 11, 2010 4:10 pmåÊ"
Fairview FireåÊ,CAL FIRE/Riverside County FireåÊ,"May 26, 2010 5:30 pmåÊ",Riverside CountyåÊ,75 acres - 100% containmentåÊ,"Fairview Ave and Whittier Ave, East HemetåÊ","May 26, 2010 2:35 pmåÊ"
McKinley FireåÊ,CAL FIRE/Riverside County FireåÊ,"May 21, 2010 6:30 pmåÊ",Riverside CountyåÊ,"1,028 acres - 100% containmentåÊ","McKinley St and Indiana Ave near Home Gardens, east of Corona åÊ","May 20, 2010 12:48 pmåÊ"
India FireåÊ,Marine Corps Base Camp Pendleton åÊ,"May 20, 2010 9:30 amåÊ",San Diego CountyåÊ,50 acres - 100% containmentåÊ,Baseline RoadåÊ,"May 19, 2010 5:27 pmåÊ"
Cotton FireåÊ,Bureau of Land ManagementåÊ,"May 18, 2010 10:00 amåÊ",San Luis ObispoåÊ,"2,044 acres - 100% containment This is not a CAL FIRE Incident. Contact BLM for more information on this fire.  åÊ",Hwy-166 & Cottonwood Canyon  åÊ,"May 15, 2010 9:19 amåÊ"
Pedley FireåÊ,CAL FIRE / Riverside County FireåÊ,"May 13, 2010 4:30 pmåÊ",Riverside CountyåÊ,856 acres - 100% containedåÊ,"Near Granite Hill and Quartz Canyon, north of Hwy 60 in the Glen Avon areaåÊ","May 12, 2010 1:31 pmåÊ"
Tenaja FireåÊ,Cleveland National ForeståÊ,"January 16, 2010 9:00 amåÊ",Riverside CountyåÊ,107 acres - 100% containmentåÊ,"Hwy. 74 and Morrel Canyon, 4 miles west of Lake ElsinoreåÊ","January 14, 2010 12:07 pmåÊ"
Collier FireåÊ,CAL FIRE Santa Clara UnitåÊ,"December 2, 2011 9:00 amåÊ",Contra Costa CountyåÊ,198 acres - 100% containedåÊ,"Collier Canyon Rd and Highland Rd, near San Ramon ValleyåÊ","December 1, 2011 6:05 pmåÊ"
