name,administrative_unit,last_update,county,acres_burned,status_notes,location,date_started,date_only,time_24hh
Calgrove Fire ,Los Angeles County Fire ,6/26/15 17:00,Los Angeles County,415,415 acres - 100% contained*** This was not a CAL FIRE incident. Please click the link above for more information on this fire. ,"Southbound Interstate 5, North of Calgrove, Santa Clarita ",6/24/15 13:22,6/24/15,13:22:00
Tenaya Fire,USFS - Yosemite National Park,9/11/15 11:00,Mariposa County,415,415 acres - 100% contained***This is not a CAL FIRE incident. Click the link for more information from Yosemite NP.,"orth rim of Yosemite Valley, east of Yosemite Falls",9/7/15 21:23,9/7/15,21:23:00
Gobblers Fire,San Bernardino National Forest,8/20/13 13:32,San Bernardino County,413,413 acres - 100% contained. *** This is not a CAL FIRE incident. Click the link above for information from the San Bernardino National Forest. *** ,upper end of Lytle Creek,8/20/13 13:32,8/20/13,13:32:00
Rosa Fire ,CAL FIRE Riverside/Riverside County Fire,10/31/07 10:00,Riverside County,411,100% contained - 411 acres,"East of Temecula, north of Fallbrook",10/22/07 23:06,10/22/07,23:06:00
Dode Fire,Modoc National Forest,1/9/18 11:54,Modoc County,410,410 acres - 100% contained *** This is not a CAL FIRE incident. Click the link above for information from USFS-Modoc,"off Hwy 139, 7 miles North of Tionesta",7/13/17 15:23,7/13/17,15:23:00
South Lightning (Tennessee Fire) ,CAL FIRE Tulare Unit,9/14/11 10:00,Tulare County,407,407 acres - 100% contained,"Tennessee Knob, 4 to 5 mi. north of Fountain Springs",9/11/11 12:00,9/11/11,12:00:00
River Fire ,CAL FIRE San Bernardino Unit,2/28/13 20:00,Inyo County,406,406 acres - 100% contained,"outh of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",2/24/13 8:16,2/24/13,8:16:00
Beale Fire,CAL FIRE Nevada-Yuba-Placer Unit,8/18/16 21:30,Yuba County,400,400 acres - 100% contained,"off of Hammonton Smartsville Rd and Doolittle Rd, near Beale AFB ",8/18/16 15:35,8/18/16,15:35:00
Chrisman Fire,CAL FIRE Santa Clara Unit,7/5/11 20:30,San Joaquin County,400,400 acres - 100% contained,"I-580 and Chrisman Rd, south of Tracy ",7/5/11 16:37,7/5/11,16:37:00
Electra Fire,CAL FIRE Amador - El Dorado Unit,6/26/08 6:00,Amador County,400,100% contained - 400 acres,Powerhouse and Electra Road,6/13/08 16:00,6/13/08,16:00:00
Flynn Fire,CAL FIRE Santa Clara Unit,7/14/11 15:30,Alameda County,400,400 Acres - 100% contained,West of Tracy in the Altamont pass,7/14/11 13:15,7/14/11,13:15:00
Metz Fire,CAL FIRE San Benito-Monterey Unit,1/4/19 9:04,Monterey County,400,400 acres - 100% contained,"Metz Road and Topo Road, east of Greenfield",9/13/18 15:37,9/13/18,15:37:00
Sonoma Fire,CAL FIRE/Fresno County Fire,1/9/18 9:55,Fresno County,400,400 acres - 100% contained,"off Sonoma Ave & Cerini Ave, west of Helm ",5/10/17 15:27,5/10/17,15:27:00
Tule Fire,US Forest Service - Sequoia National Forest,11/8/16 10:15,Tulare County,395,395 acres - 100% contained ***This is NOT a CAL FIRE Incident. Click the link above for more information from the Sequoia National Forest.,"off Hwy 190, 4 miles northeast of Springville",8/22/16 22:00,8/22/16,22:00:00
Ash Fire ,CAL FIRE Madera-Mariposa-Merced Unit,7/29/09 8:00,Madera County,393,393 acres - 100% contained,"Ash Spring Road and High Water Road, between Oneals & Millerton Lake Recreational Area",7/27/09 16:45,7/27/09,16:45:00
Tulare County Lightning Fires ,CAL FIRE Tulare Unit,9/29/11 8:00,Tulare County,393,4 fires - 393 acres - 100% contained,Throughout the Tulare County foothills,9/23/11 21:45,9/23/11,21:45:00
Dye Fire,CAL FIRE Tehama-Glenn Unit,6/15/07 20:00,Tehama County,387,100% contained - 387 acres,5 miles south of Paynes Creek ,6/13/07 15:35,6/13/07,15:35:00
Napa Fire ,CDF Sonoma-Lake-Napa Unit,9/24/06 17:00,Napa County,387,100% contained - 387 acres,West of Yountville off Hwy 29,9/22/06 8:04,9/22/06,8:04:00
Cattleman Fire,CAL FIRE San Benito-Monterey Unt,5/29/11 20:00,Monterey County,384,384 acres - 100% contained,"Cattleman Rd & Red Head Canyon Rd, north of San Ardo",5/29/11 15:53,5/29/11,15:53:00
Howard Fire,CAL FIRE Lassen-Modoc Unit,9/14/16 18:00,Modoc County,380,380 acres - 100% contained,"in Howards Gulch, north of Canby ",9/11/16 14:15,9/11/16,14:15:00
West Fire,CAL FIRE Lassen-Modoc Unit,1/9/18 9:40,Modoc County,380,380 acres - 100% contained,"Likely, 15 Miles south of Alturas",4/3/17 16:00,4/3/17,16:00:00
View Fire,CAL FIRE / Riverside County Fire,6/18/12 18:45,Riverside County,376,376 acres - 100% contained ,"Desert View & Cottonwood Rd, Cabazon",6/18/12 21:15,6/18/12,21:15:00
Curry Fire,CAL FIRE Santa Clara Unit ,8/26/10 17:45,Contra Costa County,375,375 acres - 100% contained ,"Curry Canyon Road and Morgan Territory Road, East of Clayton",8/24/10 16:00,8/24/10,16:00:00
North Fire ,CAL FIRE Mendocino Unit,7/31/12 18:00,Mendocino County,375,375 acres - 100% contained,"off Mill Creek Rd near Cow Mountain, southeast of Ukiah",7/28/12 13:26,7/28/12,13:26:00
Lincoln Fire,Los Angeles County Fire Department /  Montebello Fire Department,8/20/15 8:10,Los Angeles County,374,374 acres - 100% contained**This is not a CAL FIRE incident.  Click the link for information from LA County Fire Department,"off Lincoln Ave, in the Whittier Narrows Park, City of Montebello",8/16/15 13:30,8/16/15,13:30:00
Rancho Fire,CAL FIRE Amador- El Dorado Unit,6/29/16 7:30,Amador County,372,372 acres - 100% contained,"Hwy 104, west of Ione",6/28/16 19:02,6/28/16,19:02:00
Dutch Fire,Klamath National Forest,8/4/10 18:00,Siskiyou County,371,371 acres - 100% contained,"9 miles SW of Hornbrook, Dutch Creek along Hwy 96",7/31/10 16:20,7/31/10,16:20:00
Chris Fire,Humboldt - Toiyabe National Forest,1/9/18 13:46,Mono County,370,370 acres - 100% contained***This is NOT a CAL FIRE incident. Click the link above for more information.,"Hwy 395, north of Hwy 108, Walker Watershed, south of Walker",11/13/17 11:28,11/13/17,11:28:00
Willow Fire,CAL FIRE Santa Clara Unit,1/9/18 11:48,Contra Costa County,370,370 acres - 100% contained,"Springwood Ct. & California St, Rodeo",7/8/17 15:26,7/8/17,15:26:00
Call Fire,USFS Sequoia National Forest,1/4/19 9:16,Kern County,367,367 acres - 100% contained *** This is not a CAL FIRE incident. Click the link for more information.,"off Cow Flat Road and Highway 178, west of Lake Isabella",8/18/18 15:17,8/18/18,15:17:00
Sequoia Fire,Ventura County Fire,12/9/06 8:00,Ventura County,367,100% contained - 367 acres,City of Simi Valley in the area of Sequoia Avenue and Fitzgerald Road. ,12/8/06 12:05,12/8/06,12:05:00
Range Fire,CAL FIRE/Riverside County Fire,10/1/12 18:30,Riverside County,364,364 acres - 100% contained,"Off Old Banning Idyllwild Rd & Shirleon Dr, Banning",9/29/12 18:10,9/29/12,18:10:00
Indian Fire,CAL FIRE Sonoma-Lake-Napa Unit,8/26/10 17:45,Lake County,363,363 acres - 100% contained ,North end of Indian Valley Reservoir,8/24/10 15:22,8/24/10,15:22:00
Arrastre Fire ,San Bernardino National Forest,6/9/06 15:33,San Bernardino,361,100% contained - 361 acres,6 miles east of Big Bear City,6/9/06 12:51,6/9/06,12:51:00
Gilman Fire,CDF Riverside Unit/Riverside County Fire,8/14/06 19:00,Riverside County,360,100% contained - 360 acres,"Gilman Springs, Northeast of San Jacinto",8/12/06 17:04,8/12/06,17:04:00
Creek Fire,CAL FIRE / Fresno County Fire,1/9/18 11:01,Fresno County,357,357 acres - 100% contained,"Off Los Gatos Creek Rd, west of Derrick",6/23/17 16:00,6/23/17,16:00:00
Oasis Fire ,Los Angeles County Fire Department / CAL FIRE San Bernardino Unit,8/30/11 18:30,Los Angeles County (near the San Bernardino County border),355,355 acres - 100% contained.,South of Hwy 138 off Oasis Rd south of Pinion Hills,8/27/11 13:44,8/27/11,13:44:00
Volcano Fire ,CAL FIRE/Riverside County Fire,8/5/12 18:30,Riverside County,355,355 acres - 100% contained,"Tenaja Rd and Via Volcano in La Cresta, west of Murrieta",8/1/12 11:25,8/1/12,11:25:00
McCoy Fire,Cleveland National Forest,10/30/07 6:00,San Diego County,354,100% contained - 353 acresThe Cleveland National Forest is CLOSED to the public and all activity until further notice pursuant to Forest Order 02-07-07. ,Boulder Creek / Eagle Peak,12/31/69 16:00,12/31/69,16:00:00
Tres Pinos Fire,CAL FIRE San Benito-Monterey ,5/3/13 18:45,San Benito County,354,354 acres - 100% contained ,"Highway 25 and Horizon Rd, Community of Tres ",5/3/13 11:42,5/3/13,11:42:00
Krista Fire ,CAL FIRE Nevada-Yuba-Placer Unit,7/11/11 10:30,Yuba County,350,350 acres - 100% contained,orth of Smartsville on the north side of the Yuba River,7/9/11 16:06,7/9/11,16:06:00
Pierce Fire,CAL FIRE / Riverside County Fire Department,3/16/14 8:30,Riverside County,350,350 acres - 100% contained,off Ave 66 and Pierce St in Thermal,3/15/14 16:37,3/15/14,16:37:00
Summit Fire,Mendocino National Forest,8/14/09 18:00,Colusa,350,350 acres - 100% contained,25 miles west of Stonyford ,8/13/09 12:42,8/13/09,12:42:00
Crafton Fire ,CAL FIRE San Bernardino Unit,9/26/09 19:00,San Bernardino County,347,347 acres - 100% contained,"Chapman Heights Road, near Crafton Hills College",9/23/09 16:39,9/23/09,16:39:00
Shippee Fire,CAL FIRE Butte Unit - Butte County Fire Department,1/4/19 9:59,Butte County,347,347 acres - 100% contained,"Midway Road and Esquon Road , 4 miles SE  of Durham",6/26/18 12:56,6/26/18,12:56:00
Wagon Wheel Fire,Los Angeles County Fire,9/7/11 12:00,Los Angeles County,345,345 acres - 100% contained.,"Wagon Wheel Road and Darling Road, Agua Dulce",9/5/11 12:54,9/5/11,12:54:00
Forty Nine (49) Fire ,CAL FIRE Nevada-Yuba-Placer Unit,9/2/09 18:00,Placer County,343,343 acres - 100% contained,Hwy 49 and Rock Creek near Auburn,8/30/09 14:22,8/30/09,14:22:00
Pacheco Fire,CAL FIRE Tuolumne Calaveras Unit,7/16/16 18:30,Calaveras County,341,341 acres - 100% contained,"off Lanford Pacheco Rd, south of Valley Springs",7/12/16 13:14,7/12/16,13:14:00
Vail Fire,CAL FIRE/ Riverside County Fire,9/20/09 20:00,Riverside County,340,340 acres - 100% contained,"Hwy 79 and Vail Lake Road, east of Temecula",9/19/09 15:52,9/19/09,15:52:00
Owens Fire,Inyo National Forest,1/4/19 9:29,Inyo County,338,338 acres - 100% contained *** This is NOT a CAL FIRE incident. Click the link above for more information from the Inyo National Forest,"Owens River Rd & Indiana Summit Rd, north of Mammoth Lakes",7/31/18 15:07,7/31/18,15:07:00
Roadrunner Fire,CAL FIRE Tulare Unit,9/5/11 12:00,Tulare County,335,335 acres - 100% contained,"Avenue 128 at ""P"" Hill, South of Porterville",9/4/11 13:42,9/4/11,13:42:00
Red Fire,CAL FIRE Humboldt Del-Norte Unit,1/8/14 19:15,Humboldt County,333,333 acres - 100% contained,"South of Berry Summit, west of Willow Creek",1/4/14 12:00,1/4/14,12:00:00
Bascom Fire,CAL FIRE Shasta-Trinity Unit,1/4/19 10:02,Shasta County,328,328 acres - 100% contained,"Off Bascom Rd & Hwy 44, in Millville",6/23/18 12:54,6/23/18,12:54:00
Power Fire,Sequoia National Forest,9/30/09 19:00,Tulare County,326,326 acres - 100% contained,Coffee Camp & Hwy 190,9/27/09 18:47,9/27/09,18:47:00
Geysers Fire,CDF Mendocino Unit,7/19/06 19:00,Mendocino,321,100% contained - 321 acres,"Hwy 101, north of Mendocino/Sonoma county line.",7/17/06 16:40,7/17/06,16:40:00
Marble Fire,USFS - Six Rivers National Forest,1/9/18 12:01,Del Norte County,319,319 acres - 100% contained***This is not a CAL FIRE incident. For more information use the link above from the USFS.,"Orleans Rd, Six River National Forest",7/19/17 14:00,7/19/17,14:00:00
Dillon Fire,Klamath National Forest,8/7/12 16:00,Siskiyou County,318,318 acres - 100% contained. This was NOT a CAL FIRE Incident.** Click the link above for information from the US Forest Service.  ,"15 miles Southwest of Happy Camp, CA",8/3/12 12:07,8/3/12,12:07:00
Shingle Fire,CAL FIRE Amador-El Dorado Unit,1/4/19 9:56,El Dorado County,316,316 acres - 100% contained,"off South Shingle Road and Latrobe Road, west of Latrobe",7/4/18 17:09,7/4/18,17:09:00
Williams Fire,Angeles National Forest,9/4/12 10:45,Los Angeles County,315,315 acres - 100% containedThis was NOT a CAL FIRE Incident.** Click the link above for information from the US Forest Service. ,15 miles north of Glendora,9/2/12 17:52,9/2/12,17:52:00
Dog Rock Fire,Yosemite National Park,10/12/14 18:00,Mariposa County,311,311 acres - 100% contained ***This was not a CAL FIRE incident. Click the link above for more information.,"Hwy 140 at Indian Creek, El Portal Community",10/7/14 15:05,10/7/14,15:05:00
Jurupa Fire,CAL FIRE / Riverside County Fire,3/2/13 19:00,Riverside County,311,311 acres - 100% contained,"Rio Rancho Rd & Calle Hermosa, Jurupa Valley",2/28/13 16:43,2/28/13,16:43:00
Flat Fire,Kern County Fire Department,9/21/16 9:30,Kern County,306,306 acres - 100% contained," off Granite Rd and Poso Flat Rd., 5 miles south of Woody",9/19/16 14:13,9/19/16,14:13:00
Silver Fire,Plumas National Forest,9/21/09 18:00,Plumas County,305,305 acres - 100% contained,Southeast of Silver Lake near the community of Meadow Valley.,9/19/09 15:00,9/19/09,15:00:00
Havilah Fire,USFS Sequoia National Forest,8/28/16 18:50,Kern County,304,304 acres - 100% contained *** This was NOT a CAL FIRE incident. Click the link above for more information from the Sequoia National Forest.,outh of Lake Isabella,8/28/16 18:50,8/28/16,18:50:00
Osito Fire,Angeles National Forest,7/15/09 8:00,Los Angeles County,304,304 acres - 100% contained,North of Castaic,7/13/09 12:18,7/13/09,12:18:00
Shelton Fire,CAL FIRE Tuolumne-Calaveras Unit ,5/30/13 13:25,San Joaquin County,303,303 acres - 100% contained,off North Shelton Rd in the Linden Peters area,5/30/13 11:20,5/30/13,11:20:00
Indians Fire,Los Padres National Forest,6/24/08 7:45,Monterey County,300,"66% contained - 57,943 acres A voluntary evacuation is in place for upper Pine Canyon and Arroyo Seco.  An evacuation advisory is in place for lower Pine Canyon and Thompson Canyon. Reliz Canyon Road and upper Pine Canyon Road remain open to residents only.  Although no evacuations orders have been issued at this time, decision points have been established.  An evacuation center has been established at the King City High School.",10 miles west of King City in Ventana Wilderness of the Los Padres National Forest,6/8/08 12:36,6/8/08,12:36:00
Auberry Complex ,CDF Fresno-Kings Unit,7/27/06 7:00,Fresno ,300,100% contained - 300 acres,Auberry/Powerhouse,7/23/06 19:30,7/23/06,19:30:00
29 Fire ,CAL FIRE Sonoma-Lake-Napa Unit,10/20/12 19:00,Lake County,300,300 acres - 100% contained,"Hwy 29 and Perini Road, south of Lower Lake",10/18/12 14:44,10/18/12,14:44:00
Alpha Fire,Department of Defense - Camp Pendleton ,1/4/19 10:26,San Diego County,300,300 acres - 100% contained *** This is not a CAL FIRE incident. Click the link for more information.,"Basilone Rd and San Juan Rd, Camp Pendleton Marine Corps Base",5/4/18 11:44,5/4/18,11:44:00
Butte Fire,Beale Air Force Base,9/20/16 18:00,Sutter County,300,300 acres - 100% contained,off Pass Road and Kellogg Road (Near Sutter Buttes West of Yuba City,9/20/16 9:30,9/20/16,9:30:00
Deer Fire ,CAL FIRE Sonoma-Lake-Napa Unit,10/10/08 16:45,Napa County,300,300 acres - 100% contained,East of St. Helena near Deer Park ,10/13/08 8:00,10/13/08,8:00:00
Eastman Fire,CAL FIRE Tuolumne-Calaveras Unit,6/24/11 18:50,Stanislaus County,300,300 acres - 100% contained,"28 Mile Rd & Eastman Rd, north of Oakdale",6/24/11 13:50,6/24/11,13:50:00
Gun Club Fire,CAL FIRE Madera-Mariposa-Merced Unit,7/25/14 9:15,Merced County,300,300 acres - 100% contained,"Gun Club Rd. at the Santa Fe Canal, Gustine",7/24/14 12:06,7/24/14,12:06:00
Liberty Fire,Murrieta Fire,1/9/18 13:47,Riverside County,300,300 acres - 100% contained***This was not a CAL FIRE incident. Click the link above for more information.,"Los Alamos Rd & Liberty Rd, city of Murrieta",12/7/17 13:14,12/7/17,13:14:00
ONeals Fire,CAL FIRE Madera-Mariposa-Merced ,1/4/19 10:14,Madera County,300,300 acres - 100% contained,"Road 210 and Road 200, Oneal",6/4/18 17:44,6/4/18,17:44:00
Paskenta Fire,CAL FIRE Tehama-Glenn Unit,7/25/12 21:30,Tehama County,300,300 acres - 100% contained,off Round Valley Rd in Paskenta,7/25/12 18:30,7/25/12,18:30:00
Pine Fire ,CAL FIRE Sonoma-Lake-Napa Unit,9/23/09 18:00,Sonoma County,300,300 acres - 100% contained,"Pine Flat Road, west of Geysers Complex and east of Geyserville",9/21/09 12:00,9/21/09,12:00:00
Site Fire,CAL FIRE Santa Clara Unit,6/6/15 7:15,Alameda County,300,300 acres - 100% contained,ear Corral Hollow Road and the Alameda-San Joaquin county line.,6/5/15 20:22,6/5/15,20:22:00
Warm Fire,Angeles National Forest,8/16/15 20:00,Los Angeles County,300,300 acres - 100% contained This is not a CAL FIRE incident. For more information visit the link above for the US Forest Service website,Lake Hughes Rd at Warm Springs Rehab Center,8/16/15 15:30,8/16/15,15:30:00
Lone Fire ,CAL FIRE Butte Unit,6/3/13 20:00,Butte County,298,298 acres - 100% contained,Palermo Road and Lone Tree Road near Palermo,6/3/13 13:49,6/3/13,13:49:00
Quail Fire,Joshua Tree National Park,8/18/12 8:00,San Bernardino County,297,297 acres - 100% containedThis was NOT a CAL FIRE Incident.** Click the link above for information from the National Park Service,"2.5 miles northwest of the Keys View Overlook, South of Yucca Valley",8/12/12 14:17,8/12/12,14:17:00
Becks Fire,CAL FIRE Sonoma-Lake-Napa Unit,1/23/13 10:15,Lake County,296,296 acres - 100% contained ,"North of Highway 29, southeast of Kelseyville",1/22/13 11:08,1/22/13,11:08:00
Bowen Fire,CAL FIRE San Bernardino Unit,6/10/11 18:00,San Bernardino County,295,295 acres - 100% contained,"Juniper Flats Rd. West of Bowen Ranch Rd, South of Apple Valley",6/9/11 18:39,6/9/11,18:39:00
Cow Fire,CAL FIRE Mendocino  Unit,8/4/10 19:00,Mendocino County,293,293 acres - 100% contained,"On Cow Mountain, 8 Miles East of Ukiah",8/1/10 15:55,8/1/10,15:55:00
Twisselman Fire,Kern County Fire,1/4/19 10:25,Kern County,293,293 acres - 100% contained,"Twisselman Road and Kecks Road, west of Highway 33",5/16/18 16:30,5/16/18,16:30:00
Eastman Fire ,CAL FIRE Madera-Mariposa-Merced Unit,7/21/11 22:30,Madera County,292,292 acres - 100% contained,"Off Road 29 and Avenue 26, near Eastman Lake ",7/21/11 20:02,7/21/11,20:02:00
Lookout Fire ,CDF Riverside Unit / Riverside County Fire,11/14/06 8:00,Riverside County,290,100% contained - 290 acres,Lakeland Village southwest of Lake Elisnore,11/12/06 16:30,11/12/06,16:30:00
South Fire,CAL FIRE Tuolumne-Calaveras Unit,1/4/19 9:23,Calaveras County,290,290 acres - 100% contained,"Near Milton Road and South Gulch Road, Rancho Calaveras",8/6/18 16:26,8/6/18,16:26:00
Eastman Fire,CAL FIRE Madera-Mariposa-Merced Unit,1/4/19 9:15,Madera County,289,289 acres - 100% contained,"Road 29 & Road 607, southwest of Eastman Lake",8/23/18 15:40,8/23/18,15:40:00
Bravo Fire,Kern County Fire,1/9/18 9:58,Kern County,288,288 acres - 100% contained,"Hwy 178 and Mira Monte Drive, 2 miles southeast of Lake Ming",5/15/17 14:05,5/15/17,14:05:00
Geysers Fire,CAL FIRE Sonoma-Lake-Napa Unit,5/16/08 19:00,Sonoma County,288,100% contained - 288 acres,"East of Healdsburg, on Geysers Rd at Hawkeye Ranch",5/15/08 4:00,5/15/08,4:00:00
Sunnyside Fire,CAL FIRE Lassen Modoc Unit,8/9/10 17:30,Lassen County,285,285 acres - 100% contained,"Sunnyside Rd and Hwy 395, 10 miles southeast of Susanville and north of Janesville",8/8/10 16:26,8/8/10,16:26:00
Chorro Fire,USFS - Los Padres National Forest,8/12/15 8:00,Ventura County,282,282 acres - 100% contained *** This was not a CAL FIRE incident. Click the link above for more information from the Los Padres National Forest.** ,"Maricopa Highway 33 & Chorro Grande Canyon, north of Ojai ",8/2/15 13:15,8/2/15,13:15:00
Skyline Fire,Unified Command: CAL FIRE/Riverside County Fire Department and Corona City Fire ,1/4/19 9:39,Riverside County,282,282 acres - 100% contained,"off Skyline Drive and Burrero Way, in an unincorporated county area west of Corona Cit",7/19/18 17:22,7/19/18,17:22:00
Covington Fire,CDF San Bernardino Unit,7/22/06 7:00,San Bernardino,280,100% contained - 280 acres,"La Contenta & Covington Flat Road, Town of Yucca Valley",7/20/06 12:00,7/20/06,12:00:00
James Loop Fire,East Fork Fire and Paramedic District / Bureau of Land Management,1/4/19 9:53,,280,280 acres - 100% contained *** This is not a CAL FIRE incident. Click the link for more information.,"Jacks Valley Rd and James Canyon Loop, 7 miles northwest of Minden Nevada ",7/9/18 12:53,7/9/18,12:53:00
DeWolf Fire,CAL FIRE Fresno-Kings Unit,5/25/16 8:00,Fresno County,278,278 acres - 100% contained,"DeWolf Ave & Behymer Ave, 2 miles north of Clovis",5/25/16 1:03,5/25/16,1:03:00
Panoche Fire,CAL FIRE San Benito-Monterey,1/4/19 9:49,San Benito County,278,278 acres - 100% contained,"off Panoche Road, 2 miles north of CAL FIRE Antelope Station, southeast of Hollister",7/11/18 16:40,7/11/18,16:40:00
Creek Fire,CAL FIRE Sonoma-Lake-Napa Unit,6/27/16 6:15,Yolo County,277,277 acres - 100% contained,"off Hwy 16, 4 miles south of Brooks, near the Cache Creek Casino",6/26/16 15:45,6/26/16,15:45:00
Forebay Fire,CAL FIRE Madera-Mariposa-Merced Unit,5/11/15 12:15,Merced County,275,275 acres - 100% contained,off Hwy 152 near the OÃ¢Â€Â™Neill Forebay ,5/11/15 10:26,5/11/15,10:26:00
Millerton (Fine) Fire ,CAL FIRE Fresno-Kings Unit,6/23/10 22:00,Fresno County,275,275 acres - 100% contained,Sky Harbor Rd near Fine Gold Recreation Area at Millerton Lake ,6/22/10 16:00,6/22/10,16:00:00
Concord Fire,CAL FIRE Santa Clara Unit,7/1/13 18:30,Contra Costa County,274,274 acres - 100% contained,off Concord Ave & Vineyard Parkway in Brentwood,7/1/13 15:41,7/1/13,15:41:00
Gold Fire,CAL FIRE Madera-Mariposa-Merced Unit,5/1/13 7:00,Madera County,274,274 acres - 100% contained,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,4/30/13 12:59,4/30/13,12:59:00
Tecolote Fire,US Forest Service - Angeles National Forest,12/12/14 13:30,Los Angeles County,274,274 acres - 100% contained ***This is not a CAL FIRE incident. Please click the link above for more information.,"18 miles north of Glendora, off Highway 39 and mile marker 28.",8/17/14 14:30,8/17/14,14:30:00
South Fire,Sequoia National Forest ,8/2/12 13:00,Kern County,271,271 acres and 100% contained  This was NOT a CAL FIRE Incident.** Click the link above for information from the US Forest Service.  ," Bodfish Canyon area, just west of the town of Lake Isabella.",7/29/12 14:00,7/29/12,14:00:00
Roca Fire,CAL FIRE Riverside/Riverside County Fire,11/1/07 18:30,Riverside County,270,100% contained - 270 acres,Roca Vista and Highway 371,10/21/07 15:52,10/21/07,15:52:00
Elm Fire,CAL FIRE / Riverside County Fire,7/8/09 8:00,Riverside County,270,270 acres - 100% contained,"Ida Ave & Elm St, Cabazon",7/7/09 15:19,7/7/09,15:19:00
Hetch Hetchy Fire,CAL FIRE Tuolumne-Calaveras Unit,6/6/14 9:30,Tuolumne County,269,269 acres - 100% contained,"off La Grange Rd (J59) at Hetch Hetchy power lines, northwest shore of Don Pedro Reservoir",6/5/14 13:04,6/5/14,13:04:00
Madre Fire,Angeles National Forest/Los Angeles County Fire,9/28/13 8:00,Los Angeles County,268,268 acres - 100% contained*** This was not a CAL FIRE incident.  Please click the link above for more information from the Angeles National Forest.,San Gabriel Canyon 1/4 mile west of the entrance station,9/23/13 18:00,9/23/13,18:00:00
Valley Fire,Unified Command: CAL FIRE and Contra Costa County Fire Department,1/4/19 9:58,Contra Costa County,268,268 acres - 100% contained,"Ygnaciao Valley Road and Cowell Road, Concord",6/29/18 16:06,6/29/18,16:06:00
Wilson Fire,CAL FIRE Humboldt - Del Norte Unit,10/12/09 18:00,Del Norte County,265,265 acres - 100% contained,"5 Miles North of Klamath, East of Hwy 101 in the Wilson Creek Drainage",10/9/09 23:00,10/9/09,23:00:00
Hurricane Complex (Previously Santa Lucia Lighting Complex),"Santa Lucia Ranger District, Los Padres National Forest",9/12/11 19:45,Santa Barbara County,262,262 acres - 100% contained **This is NOT a CAL FIRE Incident. Click the link above for information from the US Forest Service.  ,Santa Lucia Ranger District,9/10/11 11:00,9/10/11,11:00:00
Dos Palmas Fire,Riverside County/CAL FIRE Riverside Unit,4/1/08 10:00,Riverside County,261,100% contained  - 261 acres,South of Mecca,4/13/08 18:19,4/13/08,18:19:00
Wilson Fire,Lassen National Forest,1/4/19 8:59,Tehama County,261,261 acres - 100% contained*** This is not a CAL FIRE incident. Click the link for more information.,"Wilson Lake Rd and Lost Creek Rd, 10 miles NW of Chester  ",9/28/18 13:08,9/28/18,13:08:00
Casino Fire,CAL FIRE Sonoma-Lake-Napa Unit,6/9/12 19:30,Yolo County,260,260 acres - 100% contained,"Hwy 16, north of Capay, just south of the Cache Creek Casino",6/9/12 12:41,6/9/12,12:41:00
Colby Fire,Lassen National Forest,8/13/07 7:00,Tehama County,260,100% contained - 260 acres,15 miles northeast of Forest Ranch on Hwy 32,8/10/07 15:00,8/10/07,15:00:00
Fox Fire,CAL FIRE San Luis Obispo Unit,1/4/19 10:00,San Luis Obispo County,260,260 acres - 100% contained,"Camp San Luis Obispo Range Echo, 3 miles NW of San Luis Obispo",6/26/18 11:16,6/26/18,11:16:00
Little Mountain Fire,San Bernardino County Fire,1/9/18 13:47,San Bernardino County,260,260 acres - 100% contained,"University Pkwy. and Varsity Ave., San Bernardino City",12/5/17 13:35,12/5/17,13:35:00
Santa Cruz Fire,Channel Islands National Park,1/3/19 9:44,Santa Barbara County,258,258 acres - 100% contained ***This is not a CAL FIRE incident. Click the link for more information on this incident.,"Channel Islands National Park, Santa Cruz Island",3/27/18 14:45,3/27/18,14:45:00
Eastman Fire,CAL FIRE Tuolumne-Calaveras Unit,6/11/11 20:30,Stanislaus County,257,257 acres - 100% contained,"Sonora Rd & Eastman Rd near Woodward Lake, North of Oakdale",6/11/11 17:53,6/11/11,17:53:00
Lakepointe Fire,CAL FIRE Riverside Unit / Riverside County Fire,5/28/12 6:30,Riverside County,256,256 acres - 100% contained, Tin Mine Rd & La Sierra Ave in the Lake Mathews area,5/27/12 15:38,5/27/12,15:38:00
Potrero Fire,CAL FIRE / Riverside County Fire,8/11/10 8:00,Riverside County,256,256 acres - 100% contained,"Potrero Rd and Foothill Rd, north of Banning",8/10/10 16:44,8/10/10,16:44:00
Lost Fire,Unified Command: CAL FIRE San Diego County Fire Authority and Cleveland National Forest - USFS,4/12/18 14:52,San Diego County,255,255 acres - 100% contained,"off of Hwy 79, 4 miles north of Warner Springs",7/22/17 15:00,7/22/17,15:00:00
Slides Fire,Sequoia National Forest,9/5/12 21:00,Tulare County,254,254 acres - 100% containedThis was NOT a CAL FIRE Incident.** Click the link above for information from the US Forest Service.,"Sequoia National Forest, E Kern River & Rincon Trail",9/2/12 13:36,9/2/12,13:36:00
Cajon Fire ,San Bernardino National Forest,10/30/07 6:00,San Bernardino County,250,100% contained - 250 acres,I-15 / Kenwood in Devore,10/22/07 11:48,10/22/07,11:48:00
